[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 68 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 69 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 70 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 71 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 72 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 73 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 74 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 75 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 76 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 77 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 78 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 79 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 80 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 81 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 82 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 83 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 84 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 85 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 86 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 87 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 88 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 89 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 90 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 91 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 92 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 93 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 94 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 95 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 96 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 97 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 98 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 99 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 100 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 101 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 102 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 103 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 104 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 105 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 106 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 107 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 108 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 109 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 110 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 111 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 112 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 113 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 114 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 115 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 116 veses
